N. Foles,QB,Eagles,7,3836,30.1,219,4,0,0,0,0,6.9
G. Tate,WR,Det,9,0,0,10.7,0,938,4.7,42.2,0,1
T. Romo,QB,Dal,11,4784,28.9,40.2,0.9,0,0,0,0,5.6
S. Jackson,RB,Atl,9,0,0,730,6.5,294,1.5,0,0,1.4
J. Witten,TE,Dal,11,0,0,0,0,872,5.8,0,0,0.5
R. Wayne,WR,Ind,10,0,0,10.6,0,795,5.5,0,0,0.6
P. Rivers,QB,SD,10,4081,28.9,69.1,0.9,0,0,0,0,5.2
G. Olsen,TE,Car,12,0,0,0,0,843,6.2,0,0,0.5
T. Williams,WR,Dal,11,0,0,19.6,0.1,964,5.9,0,0,0.9
M. Colston,WR,NO,6,0,0,0,0,972,7.1,0,0,0.5
E. Decker,WR,NYJ,11,0,0,0,0,1034,5.6,0,0,1.3
R. Wilson,QB,Sea,4,3176,25.3,482,1.5,0,0,0,0,9.1
P. Thomas,RB,NO,6,0,0,487,2.9,501,2.3,0,0,1.6
T. Richardson,RB,Ind,10,0,0,771,7.2,239,0.6,0,0,3.1
M. Jones-Drew,RB,Oak,5,0,0,690,5.6,198,0.6,0,0,1.7
J. Cutler,QB,Chi,9,3977,28.7,193,0.9,0,0,0,0,7.1
C. Kaepernick,QB,SF,8,3236,22.7,665,1.6,0,0,0,0,7.8
C. Shorts III,WR,Jac,11,0,0,0,0,922,4.3,0,0,0.5
E. Sanders,WR,Den,4,0,0,12.2,0,924,6.7,0,0,1
M. Wallace,WR,Mia,5,0,0,23.1,0.1,1099,5.8,0,0,0.5
T. West,RB,Cle,4,0,0,541,4.2,221,0.8,0,0,2
M. Evans,WR,TB,7,0,0,0,0,876,4.7,0,0,0.8
F. Jackson,RB,Buf,9,0,0,606,5.8,266,0.5,0,0,2.2
D. Pitta,TE,Bal,11,0,0,0,0,697,5.4,0,0,0.4
B. Cooks,WR,NO,6,0,0,21.9,0,821,5.1,121,0.1,1
R. Cooper,WR,Eagles,7,0,0,0,0,638,5.4,0,0,0.3
D. Bowe,WR,KC,6,0,0,0,0,911,4.8,0,0,0.5
K. Rudolph,TE,Vikings,10,0,0,0,0,725,4.5,0,0,0.4
D. Sproles,RB,Eagles,7,0,0,271,2.1,402,1.7,224,0.3,1.1
Z. Ertz,TE,Eagles,7,0,0,0,0,594,6.4,0,0,0.6
H. Nicks,WR,Ind,10,0,0,0,0,658,5.3,0,0,0.3
D. Woodhead,RB,SD,10,0,0,414,3.4,462,2.4,0,0,1.7
A. Boldin,WR,SF,8,0,0,11.8,0,728,3.9,0,0,0.3
J. Reed,TE,Was,10,0,0,0,0,735,5,0,0,0.9
M. Jones,WR,Cin,4,0,0,42.1,0.1,622,5.1,0,0,0.4
B. Roethlisberger,QB,Pit,12,3966,24,105,0.6,0,0,0,0,8
D. Williams,RB,Car,12,0,0,573,2.7,178,0.4,0,0,2
S. Greene,RB,Ten,9,0,0,602,5.2,78.2,0.2,0,0,1
M. Bennett,TE,Chi,9,0,0,0,0,710,6.4,0,0,0.8
J. Jones,WR,Oak,5,0,0,0,0,692,3.5,0,0,1.2
S. Watkins,WR,Buf,9,0,0,0,0,891,4.7,0,0,0.9
D. Amendola,WR,NE,10,0,0,12.7,0,371,1.7,31.7,0,0.2
C. Ivory,RB,NYJ,11,0,0,615,4.4,28.8,0.1,0,0,1.7
D. Hopkins,WR,Hou,10,0,0,0,0,902,4.9,0,0,1
R. Randle,WR,NYG,8,0,0,0,0,939,5.8,71.4,0.1,0.8
D. Freeman,RB,Atl,9,0,0,366,2.5,253,1,0,0,1.5
A. Dalton,QB,Cin,4,3750,27,166,1.5,0,0,0,0,6.5
T. Austin,WR,StL,4,0,0,67.1,0.2,620,2.5,620,0.9,1.1
